version,instance,result,time
v_01,../instances/set_1_4/p1.4.n.txt,150.000000,6990
v_01,../instances/set_1_4/p1.4.n.txt,155.000000,7232
v_01,../instances/set_1_4/p1.4.o.txt,165.000000,7445
v_01,../instances/set_1_4/p1.4.o.txt,165.000000,7557
v_01,../instances/set_1_4/p1.4.o.txt,160.000000,7553
v_01,../instances/set_1_4/p1.4.o.txt,165.000000,7756
v_01,../instances/set_1_4/p1.4.p.txt,170.000000,8509
v_01,../instances/set_1_4/p1.4.p.txt,170.000000,8578
v_01,../instances/set_1_4/p1.4.p.txt,170.000000,8574
v_01,../instances/set_1_4/p1.4.p.txt,170.000000,8712
v_01,../instances/set_1_4/p1.4.q.txt,185.000000,8615
v_01,../instances/set_1_4/p1.4.q.txt,175.000000,8745
v_01,../instances/set_1_4/p1.4.q.txt,180.000000,8748
v_01,../instances/set_1_4/p1.4.q.txt,180.000000,8852
v_01,../instances/set_1_4/p1.4.r.txt,200.000000,8617
v_01,../instances/set_1_4/p1.4.r.txt,200.000000,8772
v_01,../instances/set_1_4/p1.4.r.txt,200.000000,8531
v_01,../instances/set_1_4/p1.4.r.txt,200.000000,8590
v_01,../instances/set_2_2/p2.2.a.txt,90.000000,380
v_01,../instances/set_2_2/p2.2.a.txt,90.000000,385
v_01,../instances/set_2_2/p2.2.a.txt,90.000000,378
v_01,../instances/set_2_2/p2.2.a.txt,90.000000,370
v_01,../instances/set_2_2/p2.2.b.txt,120.000000,842
v_01,../instances/set_2_2/p2.2.b.txt,120.000000,835
v_01,../instances/set_2_2/p2.2.b.txt,120.000000,839
v_01,../instances/set_2_2/p2.2.b.txt,120.000000,828
v_01,../instances/set_2_2/p2.2.c.txt,140.000000,1444
v_01,../instances/set_2_2/p2.2.c.txt,140.000000,1386
v_01,../instances/set_2_2/p2.2.c.txt,140.000000,1422
v_01,../instances/set_2_2/p2.2.c.txt,140.000000,1410
v_01,../instances/set_2_2/p2.2.d.txt,160.000000,1766
v_01,../instances/set_2_2/p2.2.d.txt,160.000000,1724
v_01,../instances/set_2_2/p2.2.d.txt,160.000000,1684
v_01,../instances/set_2_2/p2.2.d.txt,160.000000,1701
v_01,../instances/set_2_2/p2.2.e.txt,190.000000,2305
v_01,../instances/set_2_2/p2.2.e.txt,190.000000,2217
v_01,../instances/set_2_2/p2.2.e.txt,190.000000,2230
v_01,../instances/set_2_2/p2.2.e.txt,190.000000,2243
v_01,../instances/set_2_2/p2.2.f.txt,200.000000,2932
v_01,../instances/set_2_2/p2.2.f.txt,200.000000,2983
v_01,../instances/set_2_2/p2.2.f.txt,200.000000,2993
v_01,../instances/set_2_2/p2.2.f.txt,200.000000,2962
v_01,../instances/set_2_2/p2.2.g.txt,200.000000,3233
v_01,../instances/set_2_2/p2.2.g.txt,200.000000,3496
v_01,../instances/set_2_2/p2.2.g.txt,200.000000,3091
v_01,../instances/set_2_2/p2.2.g.txt,200.000000,3143
v_01,../instances/set_2_2/p2.2.h.txt,230.000000,3646
v_01,../instances/set_2_2/p2.2.h.txt,230.000000,3646
v_01,../instances/set_2_2/p2.2.h.txt,230.000000,3604
v_01,../instances/set_2_2/p2.2.h.txt,230.000000,3670
v_01,../instances/set_2_2/p2.2.i.txt,230.000000,3901
v_01,../instances/set_2_2/p2.2.i.txt,230.000000,3836
v_01,../instances/set_2_2/p2.2.i.txt,230.000000,3860
v_01,../instances/set_2_2/p2.2.i.txt,230.000000,3921
v_01,../instances/set_2_2/p2.2.j.txt,260.000000,4145
v_01,../instances/set_2_2/p2.2.j.txt,260.000000,3970
v_01,../instances/set_2_2/p2.2.j.txt,260.000000,4105
v_01,../instances/set_2_2/p2.2.j.txt,260.000000,4136
v_01,../instances/set_2_2/p2.2.k.txt,275.000000,4792
v_01,../instances/set_2_2/p2.2.k.txt,275.000000,5147
v_01,../instances/set_2_2/p2.2.k.txt,275.000000,4835
v_01,../instances/set_2_2/p2.2.k.txt,275.000000,4791
v_01,../instances/set_2_3/p2.3.a.txt,70.000000,325
v_01,../instances/set_2_3/p2.3.a.txt,70.000000,327
v_01,../instances/set_2_3/p2.3.a.txt,70.000000,330
v_01,../instances/set_2_3/p2.3.a.txt,70.000000,324
v_01,../instances/set_2_3/p2.3.b.txt,70.000000,428
v_01,../instances/set_2_3/p2.3.b.txt,70.000000,428
v_01,../instances/set_2_3/p2.3.b.txt,70.000000,427
v_01,../instances/set_2_3/p2.3.b.txt,70.000000,418
v_01,../instances/set_2_3/p2.3.c.txt,105.000000,925
v_01,../instances/set_2_3/p2.3.c.txt,105.000000,900
v_01,../instances/set_2_3/p2.3.c.txt,105.000000,934
v_01,../instances/set_2_3/p2.3.c.txt,105.000000,921
v_01,../instances/set_2_3/p2.3.d.txt,105.000000,1038
v_01,../instances/set_2_3/p2.3.d.txt,105.000000,1013
v_01,../instances/set_2_3/p2.3.d.txt,105.000000,1020
v_01,../instances/set_2_3/p2.3.d.txt,105.000000,996
v_01,../instances/set_2_3/p2.3.e.txt,120.000000,1440
v_01,../instances/set_2_3/p2.3.e.txt,120.000000,1484
v_01,../instances/set_2_3/p2.3.e.txt,120.000000,1430
v_01,../instances/set_2_3/p2.3.e.txt,120.000000,1482
v_01,../instances/set_2_3/p2.3.f.txt,120.000000,1652
v_01,../instances/set_2_3/p2.3.f.txt,120.000000,1663
v_01,../instances/set_2_3/p2.3.f.txt,120.000000,1649
v_01,../instances/set_2_3/p2.3.f.txt,120.000000,1821
v_01,../instances/set_2_3/p2.3.g.txt,145.000000,2175
v_01,../instances/set_2_3/p2.3.g.txt,145.000000,2034
v_01,../instances/set_2_3/p2.3.g.txt,145.000000,2054
v_01,../instances/set_2_3/p2.3.g.txt,145.000000,2049
v_01,../instances/set_2_3/p2.3.h.txt,165.000000,2550
v_01,../instances/set_2_3/p2.3.h.txt,165.000000,2532
v_01,../instances/set_2_3/p2.3.h.txt,165.000000,2543
v_01,../instances/set_2_3/p2.3.h.txt,165.000000,2529
v_01,../instances/set_2_3/p2.3.i.txt,200.000000,2966
v_01,../instances/set_2_3/p2.3.i.txt,200.000000,2945
v_01,../instances/set_2_3/p2.3.i.txt,200.000000,2979
v_01,../instances/set_2_3/p2.3.i.txt,200.000000,2943
v_01,../instances/set_2_3/p2.3.j.txt,200.000000,3288
v_01,../instances/set_2_3/p2.3.j.txt,200.000000,3470
v_01,../instances/set_2_3/p2.3.j.txt,200.000000,3299
v_01,../instances/set_2_3/p2.3.j.txt,200.000000,3243
v_01,../instances/set_2_3/p2.3.k.txt,200.000000,3590
v_01,../instances/set_2_3/p2.3.k.txt,200.000000,3604
v_01,../instances/set_2_3/p2.3.k.txt,200.000000,3520
v_01,../instances/set_2_3/p2.3.k.txt,200.000000,3621
v_01,../instances/set_2_4/p2.4.a.txt,10.000000,234
v_01,../instances/set_2_4/p2.4.a.txt,10.000000,237
v_01,../instances/set_2_4/p2.4.a.txt,10.000000,235
v_01,../instances/set_2_4/p2.4.a.txt,10.000000,233
v_01,../instances/set_2_4/p2.4.b.txt,70.000000,493
